No.,FREQ,NAME(全角28文字/半角14文字以内),MODE,BANK,SKIP,STEP,OFFSET,SHIFT_FREQ,ATT,SQ_TYPE,CTCSS,DCS,REV_EC,REV_FREQ,UC,GC,EC,WC,T61_LON,T61_LAT,DMR_SLOT,DMR_CC,DMR_GC,DSTAR_CS,C4FM_DG,LON,LAT
075,467.337500,ﾃﾞｼﾞﾀﾙ簡易無線3B_55ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
076,467.343750,ﾃﾞｼﾞﾀﾙ簡易無線3B_56ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
077,467.350000,ﾃﾞｼﾞﾀﾙ簡易無線3B_57ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
078,467.356250,ﾃﾞｼﾞﾀﾙ簡易無線3B_58ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
079,467.362500,ﾃﾞｼﾞﾀﾙ簡易無線3B_59ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
080,467.368750,ﾃﾞｼﾞﾀﾙ簡易無線3B_60ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
081,467.375000,ﾃﾞｼﾞﾀﾙ簡易無線3B_61ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
082,467.381250,ﾃﾞｼﾞﾀﾙ簡易無線3B_62ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
083,467.387500,ﾃﾞｼﾞﾀﾙ簡易無線3B_63ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
084,467.393750,ﾃﾞｼﾞﾀﾙ簡易無線3B_64ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
